Unnamed: 0,target,text
3890,0,problem spend lot qualiti time togeth
5553,0,hahaha use brain dear
4366,0,like di sweater fr mango size alreadi irrit
3968,0,thank messag realli appreci sacrific sure process direct pay find way back test tomorrow class wonder day
3771,0,uncl timi help clear car
13,0,search right word thank breather promis wont take help grant fulfil promis wonder bless time
2777,0,kind took garag centr part exhaust need replac part order n take fix tomo morn
3769,0,love girl offic may wonder smile sore
4926,0,wan na art
370,0,hello boytoy geeee miss alreadi woke wish bed cuddl love
4919,0,g say never answer text
2832,1,tkt euro2004 cup final cash collect call 09058099801 b4190604 pobox 7876150ppm
1396,0,shall start hear
2521,0,sorri call later
4564,0,honeybe said sweetest world god laugh amp said wait u havnt met person read msg moral even god crack joke
3075,0,mum hope great day hope text meet well full life great day abiola
3200,0,work
3685,0,get class bsn like lt gt minut know advis
2693,0,nice new shirt thing wear nudist theme mu
2382,0,reach ten morn
1609,0,readi big day tomorrow
1933,0,r u scratch
3278,0,solv case man found murder lt decim gt lt gt afternoon 1 wife call polic 2 polic question everyon 3 wife sir sleep murder took place cook pick veget went 2 post offic went 2 play went 2 marriag polic arrest murder immedi repli reason u r brilliant
1493,0,money money aint thing sha
5493,0,think rule tamilnadu tough peopl
3628,0,head straight
2866,0,mum sent mani mani messag sinc got want know actual get enjoy rest day
4594,0,yo sorri shower sup
5103,0,news hassl get weed week andr money haughaighgtujhyguj
459,0,go thru differ decis cope heal everyth believ
4569,1,wan na laugh tri mobil logon txting word chat send 8883 cm po box 4217 london w1a 6zf rcvd
1321,0,wake long ago alreadi dunno thing
3832,0,askd u question hour answer
3451,0,ugh got outta class
391,0,hey sat go intro pilat kickbox
1394,0,r still meet 4 dinner tonight
1939,1,peopl dog area call 09090204448 join like mind guy arrang 1 1 even minapn ls278bb
241,0,pleassssssseeeee tel v avent done sportsx
2700,0,feb lt gt love day send di ur valu evn 3 come back u gt marri person u luv u ignor di u lose ur luv 4 evr
882,0,love give massag use lot babi oil fave posit
822,1,smsservic yourinclus text credit pl goto 3qxj9 unsubscrib stop extra charg help 9ae
3183,0,good morn pooki pie lol hope wake u
994,0,ca number
4442,0,know old dom told yesterday name roger got touch last night want meet today 2 pm
3576,0,yeah confirm stay weekend
3479,0,look
1392,0,thk shld b ya wana go 4 lesson haha go one whole stretch
4523,0,sent part
3549,0,dad want talk apart got late start omw
441,0,suppos wake gt
4193,0,use foreign stamp countri
803,1,guarante award even cashto claim ur award call free 08000407165 2 stop getstop 88222 php rg21 4jx
2503,0,fwiw reason around time smoke ga afford around someon tell appar happen somebodi want light
215,0,final match head toward draw predict
2826,0,oh right make sure load work day got realli nasti cough today dri n shot realli help
458,0,call cost guess isnt bad miss ya need ya want ya love ya
576,0,tire argu week week want
1333,0,oh icic k lor den meet day
929,1,money r lucki winner 2 claim prize text money 2 88600 give away text rate box403 w1t1ji
3125,0,u come 2 pick
3795,0,thread wishlist section forum ppl post nitro request start last page collect bottom
895,0,superb grate u dont everyth u want mean u still opportun happier tomorrow u
5108,0,sign matur start say big thing actual start understand small thing nice even bslvyl
3289,0,tuition hm go 1120 1205 one mind
4289,0,inform ikea spell cap yell thought left sit bed among mess came said go got home class pleas tri bullshit make want listen less
4554,0,7 wonder world 7th 6th ur style 5th ur smile 4th ur person 3rd ur natur 2nd ur sm 1st love good morn dear
475,0,ok gon na head usf like fifteen minut
2173,0,hiya good day spoken sinc weekend
4018,1,u select stay 1 250 top british hotel noth holiday valu dial 08712300220 claim nation rate call bx526 sw73ss
1672,1,urgent tri contact today draw show prize guarante call 09050001295 land line claim a21 valid 12hr
4820,0,im good think
3306,0,set place heart mind mind easili forget heart alway rememb wish happi valentin day
2080,0,open mca
603,0,happi come noon
3478,0,sure check yahoo email sent photo yesterday
21,0,go tri 2 month ha ha joke
1209,0,bday real april
5502,0,apo mokka player
1365,1,hot live fantasi call 08707509020 20p per min ntt ltd po box 1327 croydon cr9 5wb 0870 k
142,0,swt thought get tire littl thing 4 lovabl person coz somtim littl thing occupi biggest part heart gud ni8
4,0,nah think goe usf live around though
2957,1,u secret admir reveal think u r special call opt repli reveal stop per msg recd cust care 07821230901
4784,1,urgent 09066649731from landlin complimentari 4 ibiza holiday cash await collect sae cs po box 434 sk3 8wp 150ppm
4158,0,got tv 2 watch meh u work today
4377,0,noth u dinner w us
1879,1,u secret admir look 2 make contact r reveal think ur 09058094594
109,0,dont worri guess busi
2726,0,movi laptop
4680,0,stay town
5564,0,wait least wednesday see get
2233,0,good morn plz call sir
3327,0,put parti 7 day week studi lightli think need draw custom checkbox know hardcor
1698,1,free msg sorri servic order 81303 could deliv suffici credit pleas top receiv servic
4297,1,well done 4 costa del sol holiday await collect call 09050090044 toclaim sae tc pobox334 stockport sk38xh max10min
3146,0,oh that late well good night give u call tomorrow iam go go sleep night night
2220,0,realli quit funni lor wat u shd haf run shorter distanc wat
4893,0,convey regard
5022,0,anyway holla whenev around need excus go creep peopl sarasota
2496,0,hcl chennai requir fresher voic english upto lt gt lt gt telephon interview
4500,0,wat da decis
3414,0,remain bro amongst bro
4789,0,yup izzit still rain heavili co e mrt ca c outsid
2204,0,raji pl favour pl convey birthday wish nimya pl today birthday
1708,0,loverboy keep come queen hmmm ach speak miss despar
4532,1,gr8 new servic live sex video chat mob see sexiest dirtiest girl live ur phone 4 detail text horni 89070 cancel send stop 89070
2968,0,head dey swell oh thank make day
4349,0,ye rent expens way save
1700,0,pleas ask mummi call father
4581,0,wow think common take back ur freak unless u chop
4634,0,come din c yup cut hair
402,0,hair cream ship
2370,0,day say cut ur hair paragon call hair sens noe much hair cut
4026,0,ye princess go make moan
3550,0,love
5296,0,u come funer home
842,0,prashanthettan mother pass away last night pray famili
2975,0,love u 2 littl poci bell sorri love u
4358,0,ìï send content page
3488,0,also came room
2126,0,got shitload diamond though
2063,1,urgent mobil bonu caller prize 2nd attempt reach call 09066362220 asap box97n7qp 150ppm
2116,0,time week ryan
3223,0,sorri da mistak
2555,1,freemsg award free mini digit camera repli snap collect prize quizclub opt stop sp rwm
3368,0,sorri gone place tomorrow realli sorri
4133,0,yahoo boy bring perf legal
596,0,gud mrng dear nice day
4892,0,send new number
2558,0,friend want drive em someplac probabl take
1497,0,put readi lt time gt
924,0,actual delet old websit blog
360,0,ha ha cool cool chikku chikku
1772,0,good afternoon sexi bun goe job search wake first thought alway love wish fine happi know ador
4290,0,call u done
671,1,sm ac sun0819 post hello seem cool
4817,0,ur paper
1068,1,someon u know ask date servic 2 contact cant guess call 09058091854 reveal po box385 m6 6wu
395,0,perform award calcul everi two current one month period
5398,0,hi hope good day better night
5520,0,dont want hear anyth
4809,0,honey pl find much sell predict nigeria mani time use import repli monday
700,0,much r will pay
231,0,dear go rubber place
434,0,avail like right around hillsborough amp lt gt th
2119,0,hope know still mad
1747,0,think u wrong number
7,0,per request mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun
1855,0,girl wait recept ah
4973,0,aiyo u poor thing u dun wan 2 eat u bath alreadi
4252,0,juz havent woke bit blur blur dad went liao cant cum oso
934,1,dear matthew pleas call 09063440451 landlin complimentari 4 lux tenerif holiday cash await collect ppm150 sae cs box334 sk38xh
371,0,spoil bed well
4910,0,love holiday monday feel even go dentist hour
2027,0,got new job bar airport satsgettin hour mean lie keep touch
899,1,free rington wait collect simpli text password 85069 verifi get usher britney fml
