,target,text
3890,ham,No problem. We will be spending a lot of quality time together...
5553,ham,Hahaha..use your brain dear
4366,ham,I like dis sweater fr mango but no more my size already so irritating.
3968,ham,Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.
3771,ham,Does uncle timi help in clearing cars
13,ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
2777,ham,Kind of. Took it to garage. Centre part of exhaust needs replacing. Part ordered n taking it to be fixed tomo morning.
3769,ham,Love it! The girls at the office may wonder why you are smiling but sore...
4926,ham,Wanna do some art?! :D
370,ham,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ..."
4919,ham,"G says you never answer your texts, confirm/deny"
2832,spam,"You've won tkts to the EURO2004 CUP FINAL or å£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm"
1396,ham,Shall i start from hear.
2521,ham,"Sorry, I'll call later"
4564,ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
3075,ham,"Mum, hope you are having a great day. Hoping this text meets you well and full of life. Have a great day. Abiola"
3200,ham,Nice.nice.how is it working?
3685,ham,"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?"
2693,ham,All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?
2382,ham,I will reach before ten morning
1609,ham,You all ready for * big day tomorrow?
1933,ham,R u over scratching it?
3278,ham,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant."
1493,ham,How are you with moneY...as in to you...money aint a thing....how are you sha!
5493,ham,I think if he rule tamilnadu..then its very tough for our people.
3628,ham,Should I head straight there or what
2866,ham,"Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day."
4594,ham,Yo sorry was in the shower sup
5103,ham,In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ
459,ham,Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.
4569,spam,Wanna have a laugh? Try CHIT-CHAT on your mobile now! Logon by txting the word: CHAT and send it to No: 8883 CM PO Box 4217 London W1A 6ZF 16+ 118p/msg rcvd
1321,ham,"I wake up long ago already... Dunno, what other thing?"
3832,ham,I had askd u a question some hours before. Its answer
3451,ham,Ugh just got outta class
391,ham,Hey so this sat are we going for the intro pilates only? Or the kickboxing too? 
1394,ham,R we still meeting 4 dinner tonight?
1939,spam,More people are dogging in your area now. Call 09090204448 and join like minded guys. Why not arrange 1 yourself. There's 1 this evening. Aå£1.50 minAPN LS278BB
241,ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
2700,ham,"Feb  &lt;#&gt;  is \I LOVE U\"" day. Send dis to all ur \""VALUED FRNDS\"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr"""
882,ham,I love to give massages. I use lots of baby oil... What is your fave position?
822,spam,"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE"
3183,ham,Good morning pookie pie! Lol hope I didn't wake u up
994,ham,"I can't, I don't have her number!"
4442,ham,You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm
3576,ham,Yeah confirmed for you staying at  that weekend
3479,ham,What was she looking for?
1392,ham,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch..."
4523,ham,I've sent Ì_ my part..
3549,ham,"Dad wanted to talk about the apartment so I got a late start, omw now"
